AccX,AccY,AccZ,anomaly probability,safe probability
-9.7492,2.3846,-0.4166,0.0006329780136495877,0.9993670219863504
-9.5768,2.7701,-0.3783,0.0005971727740482491,0.9994028272259518
-9.9575,2.0063,-1.0941,0.0005345207805357299,0.9994654792194643
-9.991,2.0351,-0.9098,0.0005566944327849432,0.9994433055672151
-9.4499,1.8723,-1.1277,0.0006545316484611874,0.9993454683515388
-9.9144,1.9872,-0.8763,0.0005867833740617057,0.9994132166259383
-10.1107,2.0686,-1.2689,0.0004693461293401313,0.9995306538706599
-10.0413,2.1524,-0.7805,0.0005496388670739316,0.9994503611329261
-9.9144,1.6855,-0.6416,0.0007015858742600578,0.9992984141257399
-10.2639,1.9202,-0.893,0.0005311166915644705,0.9994688833084355
-9.8593,1.9585,-0.7159,0.0006365167570449026,0.9993634832429551
-9.9192,1.9752,-0.8164,0.0006000509749193306,0.9993999490250807
-9.8234,1.6281,-0.7063,0.0007214239854470561,0.9992785760145529
-6.699,3.8331,-6.0837,0.00016333208784835573,0.9998366679121516
-0.1437,0.0263,-0.0622,0.03181123247575335,0.9681887675242467
-10.161,1.6831,0.0335,0.0007947072828127233,0.9992052927171873
-9.7133,2.5163,0.2035,0.0006604624905760526,0.999339537509424
-9.4451,1.9537,0.3448,0.0008309767843339699,0.999169023215666
-10.1179,2.1548,0.4525,0.0005992224442495919,0.9994007775557504
-9.5002,2.0207,0.4525,0.0007697465129826719,0.9992302534870173
-9.675,2.3894,0.1844,0.0007022770844045123,0.9992977229155955
-9.2392,1.9273,0.3711,0.0008899863061294644,0.9991100136938705
-9.8976,1.6161,-0.2538,0.0008215814500937002,0.9991784185499063
-9.5624,2.4684,0.4788,0.0006438402926066678,0.9993561597073933
-9.5768,2.3224,0.6895,0.0006270963794302586,0.9993729036205697
-9.3182,3.3686,1.2665,0.00039800409547952054,0.9996019959045205
-10.0868,1.403,1.0463,0.0006381805832060827,0.9993618194167939
-9.4068,2.3559,0.9697,0.0005977829125903833,0.9994022170874096
-9.5481,1.798,-0.079,0.0009208215854573654,0.9990791784145426
-10.0724,1.8196,0.0599,0.0007752731710649607,0.999224726828935
-9.651,1.9656,0.8595,0.0006510628318217027,0.9993489371681783
-9.9144,0.6416,-0.1149,0.0011837034848717343,0.9988162965151283
-9.9599,0.9266,-0.4573,0.0009460934292583323,0.9990539065707417
-9.8402,1.2258,-0.1532,0.0009861756857959536,0.999013824314204
-8.7939,2.9257,0.3448,0.0007467587757218341,0.9992532412242782
-9.7205,1.8938,-0.1293,0.0008281488513630642,0.9991718511486369
-9.493,3.2729,0.431,0.0005120777894246364,0.9994879222105754
-9.6055,2.5905,-0.0096,0.0007100328587806848,0.9992899671412193
-9.5696,1.8938,-0.4908,0.0007720499790645485,0.9992279500209355
-9.9527,1.7071,0.1365,0.0008165085123597038,0.9991834914876403
-9.3637,1.9609,0.3232,0.0008579068053796712,0.9991420931946203
-9.9096,2.0854,-0.5531,0.0006334757202566266,0.9993665242797434
-9.9168,1.6783,-0.9146,0.0006416309735832737,0.9993583690264167
-9.9551,1.8459,0.0575,0.0007997662271005401,0.9992002337728995
-9.8881,1.7837,0.3304,0.0007623888814466406,0.9992376111185534
-9.3398,1.9824,0.2682,0.0008744637045220438,0.999125536295478
-9.9982,1.2713,-0.146,0.0009237709779444936,0.9990762290220555
-10.0437,0.7877,-0.5459,0.0009355978940092102,0.9990644021059908
-9.991,1.324,-0.1245,0.0009164167169647408,0.9990835832830353
-9.7181,1.3384,0.1413,0.0009966052171603845,0.9990033947828396
-9.924,1.0678,0.0766,0.0010404864353777965,0.9989595135646222
-9.6726,0.5363,0.1053,0.0013374847289117087,0.9986625152710883
-9.8665,0.7542,-0.182,0.0011328836401224285,0.9988671163598776
-8.7053,3.0718,1.8028,0.0004507292467068602,0.9995492707532931
-9.6534,1.7909,0.8547,0.0006906225644985886,0.9993093774355014
-9.675,1.7454,0.7398,0.0007233023372573699,0.9992766976627426
-9.6702,1.6999,0.4525,0.000809384500657151,0.9991906154993428
-9.6151,2.0351,0.7111,0.0006764376402798034,0.9993235623597202
-9.6295,2.6671,0.577,0.0005703099326739292,0.9994296900673261
-9.4834,2.6264,0.5578,0.0006108221561511584,0.9993891778438488
-9.3158,2.6312,0.5387,0.0006489794717148278,0.9993510205282852
-9.3613,2.3487,0.9984,0.0006025761368978477,0.9993974238631022
-9.505,1.6209,0.8308,0.0007740286652714312,0.9992259713347286
-9.6415,1.4126,0.4142,0.000910753154486188,0.9990892468455138
-10.1131,1.743,0.8428,0.000604486084304301,0.9993955139156957
-9.517,1.4988,0.3759,0.0009342848788720381,0.999065715121128
-9.5385,1.7286,0.4022,0.0008517821704357997,0.9991482178295642
-9.8976,1.2641,0.3567,0.0008956834448288209,0.9991043165551712
-10.0413,0.9649,0.7494,0.0008276483246272281,0.9991723516753728
-9.7564,0.2945,0.5938,0.001198130175258938,0.9988018698247411
-9.7995,0.4956,0.3136,0.00121257694526411,0.9987874230547359
-9.6798,1.3144,0.723,0.0008383009561846455,0.9991616990438154
-9.5984,2.0997,0.9864,0.0006073923312573948,0.9993926076687426
-9.4858,1.9656,0.9601,0.0006652196579346459,0.9993347803420654
-9.7396,1.4269,0.4381,0.0008703350482147654,0.9991296649517852
-10.3382,1.2833,0.1772,0.0008158517730260106,0.999184148226974
-9.8474,1.0774,0.5291,0.0009151304097786417,0.9990848695902214
-10.0963,0.8954,0.2849,0.0009707912177454592,0.9990292087822545
-9.8665,1.2665,0.0287,0.0010086553705178636,0.9989913446294821
-10.1035,1.0223,0.5722,0.0008436784261238728,0.9991563215738761
-9.6223,1.3934,1.1851,0.0007135850421617906,0.9992864149578382
-10.058,0.5626,-0.2011,0.0011257385885256044,0.9988742614114744
-9.6415,1.0151,0.5243,0.0010022267127820506,0.998997773287218
-9.9168,1.0702,0.577,0.0008821831394769664,0.999117816860523
